decoy_name	decoy_chr	decoy_start	decoy_end	decoy_strand	decoy_score	exon_chr	exon_start	exon_end	exon_strand	gene_id	gene_name	transcript_id	exon_number	overlap_length	strand_match
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143731	-	ENSG00000107959.18	PITRM1	ENST00000464395.1	5	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000678811.1	9	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000224949.9	23	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000960313.1	17	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000960311.1	23	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000960312.1	22	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000380989.6	23	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000451104.6	20	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000676719.1	12	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000960314.1	23	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000679309.1	24	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000678403.1	21	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000677384.1	23	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000851395.1	23	44	FALSE
PITRM1-AS1_3143407	chr10	3143384	3143432	+	0.000209	chr10	3143389	3143501	-	ENSG00000107959.18	PITRM1	ENST00000678855.1	24	44	FALSE
