ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	914024	916760	914024	914183	916640	916760	1	0,0,0,11,0,0	0,0,23,32,27,49	5,0,2,2,6,4	22,30,13,63,31,42	198	99	1	1.0	NA,NA,0.0,0.147,0.0,0.0	0.102,0.0,0.071,0.016,0.088,0.045	-0.017
194	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9959097	9959315	9959097	9959171	9959254	9959315	194	0,0,11,9,14,4	0,0,37,37,47,33	6,13,11,6,12,12	51,28,41,53,51,46	182	99	1	1.0	NA,NA,0.139,0.117,0.139,0.062	0.06,0.202,0.127,0.058,0.113,0.124	0.0
195	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9986288	9986603	9986288	9986355	9986552	9986603	195	0,0,40,82,76,91	0,0,30,26,32,25	85,113,53,65,41,68	26,27,40,23,27,44	198	99	1	1.0	NA,NA,0.4,0.612,0.543,0.645	0.62,0.677,0.398,0.586,0.432,0.436	0.025
196	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9986288	9986761	9986288	9986355	9986690	9986761	196	0,0,24,66,49,48	0,0,0,2,0,0	53,78,34,42,19,54	0,0,0,0,0,0	198	99	1	1.0	NA,NA,1.0,0.943,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.014
197	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9986288	9986761	9986288	9986603	9986690	9986761	197	0,0,14,16,10,12	0,0,46,57,68,54	9,18,13,7,4,19	81,71,71,45,60,54	186	99	1	1.0	NA,NA,0.139,0.13,0.073,0.106	0.056,0.119,0.089,0.076,0.034,0.158	0.023
198	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4386952	4387179	4386952	4387007	4387127	4387179	198	0,0,120,190,149,171	0,0,0,0,0,2	180,167,153,124,138,156	0,1,0,1,0,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0,0.977	1.0,0.988,1.0,0.984,1.0,1.0	-0.001
767	"ENSMUSG00000042447.13"	"Mios"	chr6	+	8233049	8234361	8233049	8233254	8234231	8234361	767	0,0,0,0,4,2	0,0,30,52,29,29	1,4,0,0,3,3	48,43,52,43,37,40	198	99	1	1.0	NA,NA,0.0,0.0,0.065,0.033	0.01,0.044,0.0,0.0,0.039,0.036	0.003
909	"ENSMUSG00000028248.15"	"Pnisr"	chr4	+	21869515	21870405	21869515	21869615	21870351	21870405	909	0,0,107,183,237,173	0,0,105,98,113,128	172,213,191,191,126,257	145,150,176,133,97,104	198	99	1	1.0	NA,NA,0.338,0.483,0.512,0.403	0.372,0.415,0.352,0.418,0.394,0.553	0.017
1173	"ENSMUSG00000028469.15"	"Npr2"	chr4	+	43643605	43644187	43643605	43643683	43644082	43644187	1173	0,0,11,7,22,13	0,0,106,92,70,92	11,10,25,9,1,27	103,84,107,74,98,96	198	99	1	1.0	NA,NA,0.049,0.037,0.136,0.066	0.051,0.056,0.105,0.057,0.005,0.123	0.006
1174	"ENSMUSG00000028469.15"	"Npr2"	chr4	+	43650148	43650492	43650148	43650323	43650393	43650492	1174	0,0,0,0,0,0	0,0,58,78,47,40	5,1,0,1,3,1	67,68,77,94,52,69	169	99	1	1.0	NA,NA,0.0,0.0,0.0,0.0	0.042,0.009,0.0,0.006,0.033,0.008	-0.016
1180	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43566927	43567916	43566927	43567467	43567724	43567916	1180	0,0,15,16,16,19	0,0,62,48,77,73	21,16,16,19,17,9	53,51,58,77,79,61	198	99	1	1.0	NA,NA,0.108,0.143,0.094,0.115	0.165,0.136,0.121,0.11,0.097,0.069	-0.001
1181	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569180	43569955	43569180	43569285	43569488	43569955	1181	0,0,1,4,10,12	0,0,65,65,74,57	19,6,10,10,1,3	62,47,95,94,47,80	198	99	1	1.0	NA,NA,0.008,0.03,0.063,0.095	0.133,0.06,0.05,0.051,0.011,0.018	-0.005
1182	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569180	43569955	43569180	43569285	43569829	43569955	1182	0,0,4,2,9,12	0,0,0,0,0,0	19,13,11,5,3,7	1,3,0,0,0,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.905,0.684,1.0,1.0,1.0,1.0	0.068
1183	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569488	43569955	43569488	43569661	43569829	43569955	1183	0,0,9,11,6,3	0,0,57,85,67,69	17,14,11,4,6,9	62,50,83,57,55,69	198	99	1	1.0	NA,NA,0.073,0.061,0.043,0.021	0.121,0.123,0.062,0.034,0.052,0.061	-0.026
1184	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43570036	43570448	43570036	43570190	43570345	43570448	1184	0,0,16,9,31,24	0,0,72,76,101,60	27,25,24,24,8,15	62,52,75,63,68,85	198	99	1	1.0	NA,NA,0.1,0.056,0.133,0.167	0.179,0.194,0.138,0.16,0.056,0.081	-0.021
1185	"ENSMUSG00000028461.12"	"Ccdc107"	chr4	+	43495508	43495921	43495508	43495621	43495696	43495921	1185	0,0,5,6,10,9	0,0,84,90,82,48	6,9,17,2,13,9	111,105,111,84,78,67	174	99	1	1.0	NA,NA,0.033,0.037,0.065,0.096	0.03,0.047,0.08,0.013,0.087,0.071	0.003
1186	"ENSMUSG00000035969.15"	"Rusc2"	chr4	+	43426227	43427088	43426227	43426365	43426447	43427088	1186	0,0,51,41,29,47	0,0,138,106,120,108	67,43,73,37,45,74	146,123,156,148,131,107	181	99	1	1.0	NA,NA,0.168,0.175,0.117,0.192	0.201,0.161,0.204,0.12,0.158,0.274	-0.023
1187	"ENSMUSG00000036002.12"	"Fam214b"	chr4	-	43035835	43037206	43035835	43036804	43037062	43037206	1187	0,0,14,7,5,8	0,0,99,81,74,68	13,15,14,15,18,14	121,118,132,114,100,97	198	99	1	1.0	NA,NA,0.066,0.041,0.033,0.056	0.051,0.06,0.05,0.062,0.083,0.067	-0.013
1196	"ENSMUSG00000073889.10"	"Il11ra1"	chr4	+	41765274	41765552	41765274	41765307	41765385	41765552	1196	0,0,0,4,0,1	0,0,86,69,87,46	0,4,3,0,2,0	64,61,70,95,58,53	177	99	1	1.0	NA,NA,0.0,0.031,0.0,0.012	0.0,0.035,0.023,0.0,0.019,0.0	-0.002
1197	"ENSMUSG00000073889.10"	"Il11ra1"	chr4	+	41765385	41766274	41765385	41765552	41766110	41766274	1197	0,0,2,4,7,1	0,0,100,101,95,94	8,0,3,7,2,2	112,122,140,121,123,72	198	99	1	1.0	NA,NA,0.01,0.019,0.036,0.005	0.034,0.0,0.011,0.028,0.008,0.014	0.002
1202	"ENSMUSG00000028423.15"	"Nfx1"	chr4	+	41015202	41016150	41015202	41015433	41016076	41016150	1202	0,0,20,29,25,38	0,0,17,16,11,6	32,28,27,35,24,54	18,17,25,11,6,12	198	99	1	1.0	NA,NA,0.37,0.475,0.532,0.76	0.471,0.452,0.351,0.614,0.667,0.692	-0.007
1213	"ENSMUSG00000040359.14"	"Ufl1"	chr4	-	25269027	25270618	25269027	25269174	25270559	25270618	1213	0,0,4,5,1,3	0,0,48,56,76,57	6,13,3,2,5,7	55,80,91,69,73,68	198	99	1	1.0	NA,NA,0.04,0.043,0.007,0.026	0.052,0.075,0.016,0.014,0.033,0.049	-0.011
1221	"ENSMUSG00000040455.17"	"Usp45"	chr4	+	21834234	21837872	21834234	21834571	21836573	21837872	1221	0,0,47,101,71,76	0,0,0,0,0,0	86,75,78,84,81,74	0,0,0,0,0,2	198	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.949	0.009
