ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1170903	1171002	1170903	1170954	1174727	1174854	2	0,0,12,30,21,20	0,0,0,0,1,0	25,20,19,25,23,22	0,1,0,2,0,0	147	99	1	1.0	NA,NA,1.0,1.0,0.934,1.0	1.0,0.931,1.0,0.894,1.0,1.0	0.013
3	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1016056	1017508	1017363	1017508	1014633	1014792	3	0,0,139,274,323,272	0,0,0,0,0,1	304,320,254,357,250,308	0,0,0,0,0,0	1406	99	1	1.0	NA,NA,1.0,1.0,1.0,0.95	1.0,1.0,1.0,1.0,1.0,1.0	-0.012
4	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	910656	910849	910685	910849	910447	910586	4	0,0,0,0,0,0	0,0,18,21,27,21	0,3,5,1,2,0	20,38,26,27,27,19	128	99	1	1.0	NA,NA,0.0,0.0,0.0,0.0	0.0,0.058,0.129,0.028,0.054,0.0	-0.045
5	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	927602	927891	927709	927891	927244	927439	5	0,0,18,6,20,14	0,0,24,17,16,21	9,17,9,12,12,4	18,15,12,16,20,11	206	99	1	1.0	NA,NA,0.265,0.145,0.375,0.243	0.194,0.353,0.265,0.265,0.224,0.149	0.015
258	"ENSMUSG00000024290.9"	"Rock1"	chr18	-	10116773	10116862	10116773	10116859	10119884	10119945	258	0,0,29,52,46,43	0,0,10,11,14,11	57,52,52,31,30,45	13,8,20,11,10,2	102	99	1	1.0	NA,NA,0.738,0.821,0.761,0.791	0.81,0.863,0.716,0.732,0.744,0.956	-0.026
259	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9989648	9989774	9989690	9989774	9987598	9987664	259	0,0,0,1,0,2	0,0,72,106,88,70	0,0,0,2,0,3	115,122,113,91,63,60	141	99	1	1.0	NA,NA,0.0,0.007,0.0,0.02	0.0,0.0,0.0,0.015,0.0,0.034	-0.001
260	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7871530	7871744	7871548	7871744	7869990	7870027	260	0,0,10,10,8,9	0,0,150,138,153,153	19,16,18,9,11,14	175,171,175,207,170,154	117	99	1	1.0	NA,NA,0.053,0.058,0.042,0.047	0.084,0.073,0.08,0.035,0.052,0.071	-0.016
261	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7917552	7917675	7917561	7917675	7916051	7916297	261	0,0,175,222,215,142	0,0,8,16,19,11	208,230,201,192,204,167	5,3,8,12,5,14	108	99	1	1.0	NA,NA,0.952,0.927,0.912,0.922	0.974,0.986,0.958,0.936,0.974,0.916	-0.029
262	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7917552	7917675	7917564	7917675	7916051	7916297	262	0,0,175,223,215,142	0,0,1,1,0,2	210,231,201,192,206,167	3,0,0,1,0,4	111	99	1	1.0	NA,NA,0.994,0.995,1.0,0.984	0.984,1.0,1.0,0.994,1.0,0.974	0.001
263	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7917561	7917675	7917564	7917675	7916051	7916297	263	0,0,8,17,19,11	0,0,1,1,0,2	7,4,8,12,7,14	3,0,0,1,0,4	102	99	1	1.0	NA,NA,0.886,0.943,1.0,0.842	0.694,1.0,1.0,0.921,1.0,0.773	0.02
