ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1239710	1239819	1199454	1199513	1245155	1245219	4	0,0,14,14,12,9	0,0,3,11,6,4	27,23,30,17,27,15	10,16,18,16,9,7	198	149	1	1.0	NA,NA,0.778,0.489,0.601,0.629	0.67,0.52,0.556,0.444,0.693,0.617	0.041
43	"ENSMUSG00000047879.17"	"Usp14"	chr18	-	10017990	10018095	10022817	10022850	10016540	10016644	10024533	10024679	43	0,0,237,269,245,218	0,0,165,208,193,123	179,215,232,225,213,284	194,203,173,181,186,181	132	198	1	1.0	NA,NA,0.683,0.66,0.656,0.727	0.581,0.614,0.668,0.651,0.632,0.702	0.04
44	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9960485	9960552	9962372	9962491	9959097	9959315	9963262	9963311	44	0,0,9,11,17,14	0,0,39,33,53,43	18,10,17,13,18,24	44,44,37,61,30,41	166	198	1	1.0	NA,NA,0.216,0.284,0.277,0.28	0.328,0.213,0.354,0.203,0.417,0.411	-0.057
45	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7901495	7901602	7905399	7905515	7871530	7871744	7905931	7906044	45	0,0,159,145,128,132	0,0,188,199,158,154	176,147,175,169,175,161	224,182,169,202,155,186	198	198	1	1.0	NA,NA,0.458,0.422,0.448,0.462	0.44,0.447,0.509,0.456,0.53,0.464	-0.027
46	"ENSMUSG00000057440.8"	"Mpp7"	chr18	-	7379988	7380069	7403185	7403356	7356141	7356235	7439568	7439633	46	0,0,24,17,9,10	0,0,2,4,11,7	13,14,20,25,5,25	1,6,11,3,1,10	198	180	1	1.0	NA,NA,0.916,0.794,0.427,0.565	0.922,0.68,0.623,0.883,0.82,0.694	-0.095
47	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6037017	6037116	6039353	6039455	6034449	6034552	6049276	6049358	47	0,0,122,133,124,92	0,0,102,108,99,80	114,106,179,109,119,132	103,122,144,99,99,134	198	198	1	1.0	NA,NA,0.545,0.552,0.556,0.535	0.525,0.465,0.554,0.524,0.546,0.496	0.029
48	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6056978	6056993	6057516	6057591	6052861	6052923	6061846	6061972	48	0,0,85,77,68,87	0,0,0,5,0,0	104,87,77,79,81,83	2,2,1,1,1,1	174	114	1	1.0	NA,NA,1.0,0.91,1.0,1.0	0.971,0.966,0.981,0.981,0.982,0.982	0.0
49	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6069830	6070091	6111684	6112439	6064340	6064421	6115813	6115850	49	0,0,92,86,89,79	0,0,29,30,46,19	100,78,91,60,110,95	27,24,41,47,27,35	198	198	1	1.0	NA,NA,0.76,0.741,0.659,0.806	0.787,0.765,0.689,0.561,0.803,0.731	0.019
50	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6111684	6112439	6115813	6115850	6069830	6070091	6135803	6135888	50	0,0,11,24,41,23	0,0,96,113,131,94	25,16,17,16,30,25	105,71,84,112,128,120	136	198	1	1.0	NA,NA,0.143,0.236,0.313,0.263	0.257,0.247,0.228,0.172,0.254,0.233	0.007
51	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4379568	4379741	4380653	4380887	4375591	4375778	4383184	4383413	51	0,0,122,105,102,106	0,0,12,12,5,15	150,111,127,115,159,77	19,7,4,14,8,7	198	198	1	1.0	NA,NA,0.91,0.897,0.953,0.876	0.888,0.941,0.969,0.891,0.952,0.917	-0.017
52	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4379568	4379741	4380653	4380887	4375591	4375778	4383188	4383413	52	0,0,122,105,104,106	0,0,46,62,33,50	142,113,127,115,159,77	39,64,75,55,39,32	198	198	1	1.0	NA,NA,0.726,0.629,0.759,0.679	0.785,0.638,0.629,0.676,0.803,0.706	-0.008
53	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5705042	5705243	5748693	5748855	5591890	5591967	5758964	5759167	53	0,0,45,48,62,48	0,0,139,121,111,115	89,68,49,72,82,74	118,115,155,131,151,127	198	198	1	1.0	NA,NA,0.245,0.284,0.358,0.294	0.43,0.372,0.24,0.355,0.352,0.368	-0.058
95	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10571954	10572142	10574874	10575018	10566506	10567646	10577000	10577090	95	0,0,48,51,50,56	0,0,66,58,37,66	58,33,64,47,62,39	85,67,101,64,72,82	198	198	1	1.0	NA,NA,0.421,0.468,0.575,0.459	0.406,0.33,0.388,0.423,0.463,0.322	0.092
96	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10577637	10577759	10582054	10582186	10577000	10577090	10584247	10584362	96	0,0,95,65,52,63	0,0,0,8,8,8	54,69,100,52,91,64	4,3,4,6,5,6	198	198	1	1.0	NA,NA,1.0,0.89,0.867,0.887	0.931,0.958,0.962,0.897,0.948,0.914	-0.024
97	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10585977	10586041	10593745	10595875	10584247	10584362	10596338	10596441	97	0,0,40,42,31,22	0,0,23,13,19,16	38,37,30,32,37,34	13,12,28,16,22,8	198	163	1	1.0	NA,NA,0.589,0.727,0.573,0.531	0.706,0.717,0.469,0.622,0.581,0.778	-0.04
