ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1176490	1176584	1176495	1176584	1174727	1174854	3	0,0,14,35,17,18	0,0,0,0,1,0	23,23,28,22,7,16	1,2,0,0,0,0	104	99	1	1.0	NA,NA,1.0,1.0,0.942,1.0	0.956,0.916,1.0,1.0,1.0,1.0	0.007
183	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9959097	9959315	9959097	9959171	9962372	9962491	183	0,0,6,5,6,3	0,0,0,4,0,0	7,14,11,2,9,7	0,0,0,0,0,0	198	99	1	1.0	NA,NA,1.0,0.385,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.154
184	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9986288	9986603	9986288	9986355	9986690	9986761	184	0,0,66,114,113,98	0,0,0,2,0,0	127,140,96,82,76,97	0,0,0,0,0,0	198	99	1	1.0	NA,NA,1.0,0.966,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
185	"ENSMUSG00000057440.8"	"Mpp7"	chr18	-	7626728	7626817	7626732	7626817	7561725	7561872	185	0,0,10,14,13,7	0,0,2,2,0,4	3,14,19,5,5,2	3,7,5,0,4,6	103	99	1	1.0	NA,NA,0.828,0.871,1.0,0.627	0.49,0.658,0.785,1.0,0.546,0.243	0.211
365	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10593745	10595875	10595675	10595875	10585977	10586041	365	0,0,15,27,36,18	0,0,1,9,1,0	26,35,20,22,36,24	5,0,2,2,4,2	198	99	1	1.0	NA,NA,0.882,0.6,0.947,1.0	0.722,1.0,0.833,0.846,0.818,0.857	0.011
366	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10593745	10595875	10595675	10595875	10588438	10588550	366	0,0,40,47,53,41	0,0,0,2,4,3	44,52,49,41,59,42	1,2,2,4,5,1	198	99	1	1.0	NA,NA,1.0,0.922,0.869,0.872	0.957,0.929,0.925,0.837,0.855,0.955	0.006
614	"ENSMUSG00000029759.9"	"Pon3"	chr6	-	5246047	5246333	5246277	5246333	5240812	5240978	614	0,0,2,1,5,0	0,0,59,103,124,77	3,4,6,11,4,2	80,80,58,87,89,63	198	99	1	1.0	NA,NA,0.017,0.005,0.02,0.0	0.018,0.024,0.049,0.059,0.022,0.016	-0.021
722	"ENSMUSG00000028248.15"	"Pnisr"	chr4	+	21869515	21870405	21869515	21869615	21871437	21871608	722	0,0,158,178,230,212	0,0,0,0,7,0	218,262,218,236,149,219	2,0,0,6,0,0	198	99	1	1.0	NA,NA,1.0,1.0,0.943,1.0	0.982,1.0,1.0,0.952,1.0,1.0	-0.003
918	"ENSMUSG00000028329.13"	"Xpa"	chr4	-	46184280	46184453	46184287	46184453	46183117	46183235	918	0,0,0,0,6,0	0,0,22,42,53,36	5,1,2,6,1,5	49,44,54,44,38,37	106	99	1	1.0	NA,NA,0.0,0.0,0.096,0.0	0.087,0.021,0.033,0.113,0.024,0.112	-0.041
923	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569488	43569955	43569829	43569955	43569180	43569285	923	0,0,69,67,77,60	0,0,0,0,0,0	71,56,100,94,49,85	1,3,0,0,0,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.973,0.903,1.0,1.0,1.0,1.0	0.021
925	"ENSMUSG00000035969.15"	"Rusc2"	chr4	+	43414695	43416718	43414695	43416402	43421604	43422249	925	0,0,201,138,171,125	0,0,0,0,1,0	126,168,203,193,177,174	0,0,0,0,0,0	198	99	1	1.0	NA,NA,1.0,1.0,0.988,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
926	"ENSMUSG00000035969.15"	"Rusc2"	chr4	+	43425296	43426128	43425296	43425649	43426227	43426365	926	0,0,371,313,311,290	0,0,0,0,0,1	424,353,474,416,406,316	0,0,2,0,0,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0,0.993	1.0,1.0,0.992,1.0,1.0,1.0	-0.0
928	"ENSMUSG00000036078.16"	"Sigmar1"	chr4	-	41740775	41740976	41740822	41740976	41740549	41740642	928	0,0,121,124,173,112	0,0,2,11,6,4	130,125,167,140,156,123	1,6,6,6,7,7	146	99	1	1.0	NA,NA,0.976,0.884,0.951,0.95	0.989,0.934,0.95,0.941,0.938,0.923	-0.006
