ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10125	"ENSMUSG00000096974.2"	"Gm26881"	chr4	+	43052944	43053051	43051236	43051377	43053153	43053254	10125	0,0,14,29,18,11	0,0,11,4,8,4	20,25,15,28,14,15	2,7,10,0,10,2	206	99	1	1.0	NA,NA,0.38,0.777,0.52,0.569	0.828,0.632,0.419,1.0,0.402,0.783	-0.116
10169	"ENSMUSG00000029661.16"	"Col1a2"	chr6	+	4522955	4523054	4522441	4522495	4523593	4523647	10169	0,0,25,16,23,13	0,0,0,0,0,0	14,23,37,19,13,23	0,1,0,0,0,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,0.92,1.0,1.0,1.0,1.0	0.013
10307	"ENSMUSG00000028444.17"	"Cntfr"	chr4	-	41658240	41658409	41657497	41658152	41658780	41658961	10307	0,0,308,252,268,207	0,0,0,0,0,0	424,432,463,429,368,271	0,0,2,2,0,0	268	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,0.988,0.988,1.0,1.0	0.004
10308	"ENSMUSG00000028444.17"	"Cntfr"	chr4	-	41663539	41663657	41663201	41663368	41670842	41671076	10308	0,0,303,265,259,215	0,0,1,7,0,1	390,370,392,382,330,306	0,0,1,3,2,0	217	99	1	1.0	NA,NA,0.993,0.945,1.0,0.99	1.0,1.0,0.994,0.983,0.987,1.0	-0.012
10309	"ENSMUSG00000028444.17"	"Cntfr"	chr4	-	41675019	41675104	41670842	41671076	41686796	41686886	10309	0,0,273,231,220,171	0,0,2,4,1,0	339,289,343,322,300,264	0,0,0,0,3,4	184	99	1	1.0	NA,NA,0.987,0.969,0.992,1.0	1.0,1.0,1.0,1.0,0.982,0.973	-0.006
10310	"ENSMUSG00000028444.17"	"Cntfr"	chr4	-	41686796	41686886	41675019	41675104	41695310	41695442	10310	0,0,233,225,208,168	0,0,0,0,0,0	285,263,304,254,264,233	0,0,0,1,0,2	189	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.993,1.0,0.984	0.004
10539	"ENSMUSG00000078772.2"	"Gm12353"	chr4	+	19608895	19608941	19605450	19605536	19631785	19631886	10539	0,0,0,1,0,0	0,0,0,0,2,0	0,0,0,0,1,0	0,0,2,0,0,0	145	99	1	1.0	NA,NA,NA,1.0,0.0,NA	NA,NA,0.0,NA,1.0,NA	0.0
10541	"ENSMUSG00000032827.15"	"Ppp1r9a"	chr6	+	4905225	4906844	4902916	4903031	5045935	5046068	10541	0,0,948,1036,1017,857	0,0,1,0,0,0	796,794,723,1000,975,923	0,0,0,0,1,0	1718	99	1	1.0	NA,NA,0.982,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.983,1.0	-0.002
10542	"ENSMUSG00000032827.15"	"Ppp1r9a"	chr6	+	4905225	4906844	4903319	4903448	5045935	5046068	10542	0,0,963,1045,1026,872	0,0,0,0,1,2	789,798,729,998,975,937	0,0,2,0,2,1	1718	99	1	1.0	NA,NA,1.0,1.0,0.983,0.962	1.0,1.0,0.955,1.0,0.966,0.982	0.002
10543	"ENSMUSG00000032827.15"	"Ppp1r9a"	chr6	+	5045935	5046068	4903319	4903448	5057457	5057578	10543	0,0,105,88,112,92	0,0,0,0,0,1	92,69,97,109,124,115	0,0,0,0,0,0	232	99	1	1.0	NA,NA,1.0,1.0,1.0,0.975	1.0,1.0,1.0,1.0,1.0,1.0	-0.006
