decoyID	oryAfe1	vicPac2	allMis1	dasNov3	gadMor1	papAnu2	eptFus1	pteAle1	octDeg1	melUnd1	hapBur1	otoGar3	eleEdw1	chrAsi1	felCat8	galGal4	panTro4	chiLan1	criGri1	pelSin1	tupChi1	latCha1	ficAlb2	bosTau8	macFas5	myoDav1	canFam3	turTru2	capHir1	loxAfr3	musFur1	fr3	nomLeu3	mesAur1	gorGor3	chlSab2	cheMyd1	cavPor3	eriEur2	equCab2	hg38	orcOrc1	petMar2	jacJac1	anoCar2	anaPla1	triMan1	calJac3	oryLat2	geoFor1	pteVam1	astMex1	myoLuc2	mm10	hetGla2	oreNil2	monDom5	ponAbe2	odoRosDiv1	chrPic2	ailMel1	falPer1	susScr3	ochPri3	ornAna1	micOch1	neoBri1	amaVit1	punNye1	oryCun2	rn6	rheMac3	colLiv1	falChe1	araMac1	oviAri3	sorAra2	xipMac1	apaSpi1	lepOcu1	saiBol1	speTri2	gasAcu1	sarHar1	echTel2	tetNig2	panHod1	pseHum1	melGal1	macEug2	lepWed1	cerSim1	zonAlb1	camFer1	takFla1	taeGut2	mayZeb1	danRer10	xenTro7	conCri1
AASDHPPT_106096649	0.000009	0.000264	-1.000000	0.000007	-1.000000	0.020797	0.000293	0.000625	0.000006	-1.000000	-1.000000	0.000125	0.000436	0.000067	0.000040	0.000070	0.024831	0.000076	0.000002	-1.000000	0.000162	-1.000000	0.002641	0.000166	0.010255	0.000293	0.000131	0.000258	0.000478	0.000072	0.000624	-1.000000	0.024831	0.000015	0.024831	0.021443	-1.000000	0.000412	0.000098	0.000120	0.024831	0.000258	-1.000000	0.000021	0.000075	0.000030	0.000182	0.028862	-1.000000	0.000012	0.000625	-1.000000	0.000411	0.000001	0.000230	-1.000000	0.000013	0.024831	0.000326	-1.000000	0.004111	-1.000000	0.000266	0.000080	-1.000000	0.000002	-1.000000	-1.000000	-1.000000	0.000096	0.000001	0.010255	0.000000	-1.000000	-1.000000	0.000478	0.000007	-1.000000	-1.000000	-1.000000	0.000250	0.000133	-1.000000	0.000021	0.000021	-1.000000	0.000478	-1.000000	-1.000000	-1.000000	0.000209	0.000389	0.000148	0.000386	-1.000000	0.000374	-1.000000	-1.000000	0.000870	0.000191
ABCA12_215022746	0.000027	0.000069	-1.000000	0.000010	-1.000000	0.000615	0.000007	0.000015	0.000538	-1.000000	-1.000000	0.000258	0.000187	0.000007	0.000007	-1.000000	0.020496	0.000544	0.000850	-1.000000	0.000223	-1.000000	-1.000000	0.000006	0.000615	0.000004	0.013709	0.000093	0.000232	-1.000000	0.000148	-1.000000	0.019759	0.001048	0.020496	0.000344	-1.000000	0.000012	-1.000000	0.000019	0.020496	0.000093	-1.000000	0.000006	-1.000000	-1.000000	-1.000000	0.000932	-1.000000	-1.000000	-1.000000	-1.000000	0.000003	0.000060	0.000008	-1.000000	-1.000000	0.014659	0.000291	-1.000000	0.002267	-1.000000	0.000004	-1.000000	-1.000000	0.000512	-1.000000	-1.000000	-1.000000	0.000030	0.000012	0.000615	-1.000000	-1.000000	-1.000000	0.000232	-1.000000	-1.000000	-1.000000	-1.000000	0.000031	0.000630	-1.000000	-1.000000	-1.000000	-1.000000	0.000232	-1.000000	-1.000000	-1.000000	0.022862	0.000657	-1.000000	0.000048	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
ABCG5_43832510	0.000140	-1.000000	-1.000000	-1.000000	-1.000000	0.047245	0.000103	0.005292	0.004804	-1.000000	-1.000000	0.000110	0.000319	-1.000000	0.000508	-1.000000	0.039820	0.035276	0.001507	-1.000000	0.011798	-1.000000	-1.000000	0.000051	0.043335	0.000186	0.100822	0.000068	0.000966	0.000029	-1.000000	-1.000000	0.031971	0.000031	0.039820	0.046797	-1.000000	0.003731	-1.000000	0.000121	0.039820	0.000068	-1.000000	0.046778	-1.000000	-1.000000	0.000154	0.039772	-1.000000	-1.000000	0.016203	-1.000000	0.000124	0.000040	0.021148	-1.000000	-1.000000	0.039820	0.029461	-1.000000	0.002801	-1.000000	0.000830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.002758	0.043335	-1.000000	-1.000000	-1.000000	0.001561	-1.000000	-1.000000	-1.000000	-1.000000	0.005228	0.006655	-1.000000	-1.000000	0.000947	-1.000000	0.001203	-1.000000	-1.000000	-1.000000	0.007422	0.002256	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000164
ABCG8_43844415	0.000011	0.003881	-1.000000	0.000092	-1.000000	0.011042	0.000048	0.000067	-1.000000	-1.000000	-1.000000	0.042621	0.000001	0.000003	0.000372	-1.000000	0.001980	0.000002	0.011621	0.000000	0.000744	-1.000000	-1.000000	0.000029	0.011042	0.000011	0.000378	0.000167	0.000009	0.000158	0.000061	-1.000000	0.001030	0.016404	0.001980	0.000657	-1.000000	0.000002	-1.000000	-1.000000	0.001980	0.000103	-1.000000	0.000204	0.000000	-1.000000	0.000130	-1.000000	-1.000000	-1.000000	0.000108	-1.000000	0.000008	-1.000000	0.000001	-1.000000	0.000103	-1.000000	0.000284	-1.000000	0.000284	-1.000000	0.000234	0.000019	-1.000000	0.014806	-1.000000	-1.000000	-1.000000	0.016228	0.001244	0.011042	-1.000000	-1.000000	-1.000000	0.000019	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.060321	-1.000000	0.000651	0.000184	-1.000000	0.000019	-1.000000	-1.000000	0.000000	0.000284	0.044352	-1.000000	0.003861	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000068
ABHD15-AS1_29576082	0.123113	0.032109	0.004054	0.003366	0.000012	0.031522	0.048256	0.022478	0.027979	0.000126	-1.000000	0.036697	0.006670	0.028034	0.040644	0.022057	0.031522	0.058776	0.001306	0.046211	0.000123	-1.000000	0.022057	0.040182	0.031522	0.043256	0.014444	0.042541	0.046422	0.072233	0.039656	-1.000000	0.001923	0.003676	0.031522	0.031522	0.008137	0.020769	0.025023	0.030586	0.031522	0.042541	-1.000000	0.086691	0.098088	-1.000000	0.017708	0.034729	-1.000000	0.022057	0.021466	-1.000000	0.025085	0.002952	0.044985	-1.000000	0.000253	0.034667	0.063781	0.000166	0.025220	0.037136	0.032760	0.000077	0.056459	0.004474	-1.000000	0.025819	-1.000000	0.022940	0.063460	0.031522	0.012351	0.000013	0.008302	0.046422	0.000564	-1.000000	-1.000000	0.077678	0.036221	0.000314	-1.000000	0.062153	0.070526	-1.000000	0.046422	0.012351	0.022057	0.010737	0.024013	0.013876	-1.000000	0.032109	-1.000000	0.015922	-1.000000	-1.000000	-1.000000	0.008152
ABHD15-AS1_29578312	0.006383	0.000540	0.015118	0.002539	0.000088	0.007062	0.008726	0.000210	0.001358	0.000104	0.001881	0.000769	0.013327	0.001050	0.000340	0.002343	0.011246	0.000922	0.000615	0.000740	0.008412	0.000434	0.000006	0.013809	0.007062	0.008984	0.000431	0.019488	0.000232	0.000883	0.001864	0.011486	0.006894	0.000215	0.011246	0.007289	0.001753	0.000774	0.000165	0.010106	0.011246	0.011800	0.000947	0.000629	0.007646	0.000062	0.000916	0.007062	0.004734	0.000286	0.000134	0.002277	0.012560	0.000397	0.001329	0.002536	0.001276	0.011246	0.000361	0.013801	0.000258	0.000136	0.000458	0.004005	0.012406	0.000317	0.001881	0.000054	0.002995	0.016489	0.000268	0.007062	0.000102	0.000136	0.000054	0.000232	0.017792	0.006880	0.000807	0.000145	0.011246	0.002802	0.002728	0.013047	0.009987	0.024370	0.000232	0.008104	0.000195	0.004692	0.000697	0.015523	0.000230	0.000540	0.000027	0.013449	0.002995	0.001401	0.000022	0.000257
AC002115.9_35610643	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000814	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.034197	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000814	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.066173	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.001927	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000814	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
AC002398.11_35748872	0.001589	0.000284	-1.000000	0.001846	-1.000000	-1.000000	0.000152	0.273393	0.000262	-1.000000	-1.000000	0.019905	0.019335	0.001828	0.025866	-1.000000	0.231235	0.000045	-1.000000	-1.000000	0.004641	-1.000000	-1.000000	0.005642	0.066023	0.000039	0.003835	0.000539	0.003123	0.013070	0.024551	-1.000000	0.221524	0.000334	0.055277	0.066023	-1.000000	0.000022	0.000347	0.000103	0.074239	0.000539	-1.000000	0.001976	-1.000000	-1.000000	0.005785	0.016233	-1.000000	-1.000000	0.168882	-1.000000	0.000039	0.000059	0.000095	-1.000000	-1.000000	0.224417	0.028293	-1.000000	0.000334	-1.000000	0.000408	0.000010	-1.000000	0.000010	-1.000000	-1.000000	-1.000000	0.000071	0.000013	0.066023	-1.000000	-1.000000	-1.000000	0.017539	0.000299	-1.000000	-1.000000	-1.000000	0.035143	0.000120	-1.000000	0.000024	0.000035	-1.000000	0.005642	-1.000000	-1.000000	-1.000000	0.000641	0.000110	-1.000000	0.000284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000039
AC004019.13_17581810	0.000004	-1.000000	-1.000000	0.002443	-1.000000	0.025992	0.000780	0.000088	-1.000000	-1.000000	-1.000000	0.000352	-1.000000	0.003555	0.000295	-1.000000	0.060462	0.000056	-1.000000	-1.000000	0.000023	-1.000000	-1.000000	-1.000000	0.025992	0.000665	0.000009	0.000319	-1.000000	0.000008	0.045975	-1.000000	0.080205	-1.000000	0.060462	0.024927	-1.000000	0.000001	-1.000000	0.104021	0.060462	0.000003	-1.000000	-1.000000	-1.000000	-1.000000	0.000011	0.000524	-1.000000	-1.000000	0.000073	-1.000000	0.000681	-1.000000	0.000097	-1.000000	-1.000000	0.079756	0.000909	-1.000000	0.000108	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000007	-1.000000	0.025992	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000173	0.001532	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000827	0.001479	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000372
AC005104.3_241352671	0.000033	0.004593	-1.000000	0.000138	-1.000000	0.232497	0.000089	0.000017	-1.000000	-1.000000	-1.000000	0.000039	0.000009	0.000020	0.001596	-1.000000	0.159023	0.000036	0.004773	-1.000000	0.000001	-1.000000	-1.000000	0.000698	0.232497	0.000018	0.005971	0.000518	0.000007	0.001587	0.000021	-1.000000	0.388053	0.005169	0.159023	0.239771	-1.000000	0.097275	-1.000000	0.000037	0.141149	0.000806	-1.000000	0.079509	-1.000000	-1.000000	0.001799	0.011669	-1.000000	-1.000000	0.000017	-1.000000	0.000031	0.000383	0.000160	-1.000000	-1.000000	0.239771	0.000749	-1.000000	0.021261	-1.000000	0.000146	-1.000000	-1.000000	0.003617	-1.000000	-1.000000	-1.000000	0.000120	0.004600	0.232497	-1.000000	-1.000000	-1.000000	0.000007	0.301576	-1.000000	-1.000000	-1.000000	0.009467	0.000132	-1.000000	-1.000000	0.199154	-1.000000	0.000698	-1.000000	-1.000000	-1.000000	0.000848	0.024792	-1.000000	0.008821	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
